dolares,capital,capital_pesos,ciiu,Vencido,Días vencido,tipo_operacion,tasa_interes,plazo,output_1,ciiu_emb1,ciiu_emb2,plazo_emb1,plazo_emb2
1,14000.0,418222.0,51390,0,0,1,8.0,3,0,0.4813622,-0.86792165,1.1681741,0.7304368
1,80000.0,2389840.0,75230,0,0,1,6.0,3,0,-0.15355697,0.1140225,1.1681741,0.7304368
1,35000.0,1045555.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
1,33468.75,999811.96875,32100,0,0,2,5.813,6,0,-0.97431225,0.76103,0.03569989,0.686754
0,2019000.0,2019000.0,51900,0,0,1,19.5,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
0,400000.0,400000.0,51900,0,0,1,19.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,38000.0,1135174.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,16900.0,504853.7,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,11000.0,328603.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,31913.13,953340.93249,90000,0,0,2,6.5,5,0,-0.26089063,0.19164342,-0.14429104,0.9848039
1,39375.0,1176249.375,1401,0,0,2,5.1,6,0,0.1894225,-0.32241976,0.03569989,0.686754
1,22960.0,685884.08,1401,0,0,2,5.1,5,0,0.1894225,-0.32241976,-0.14429104,0.9848039
1,20000.0,597460.0,25110,0,0,1,6.0,3,0,0.09737022,0.30261186,1.1681741,0.7304368
1,26300.0,785659.9,60220,0,0,2,5.23,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,68100.0,2034351.3,60230,0,0,1,6.0,3,0,0.22463928,-0.4531752,1.1681741,0.7304368
1,25000.0,746825.0,34200,0,0,1,6.4,3,0,0.046759028,-0.89071375,1.1681741,0.7304368
1,80000.0,2389840.0,36100,1,24,1,5.0,3,0,0.3362454,0.5756545,1.1681741,0.7304368
1,35675.0,1065719.275,1211,0,0,2,5.699,5,0,-0.8034214,0.115811124,-0.14429104,0.9848039
1,30000.0,896190.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,27000.0,806571.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,23000.0,687079.0,51430,0,0,1,6.0,2,0,0.8529021,1.0706525,0.04101171,0.36117008
1,26000.0,776698.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,24000.0,716952.0,28990,0,0,1,7.5,3,0,-0.24228032,0.59642714,1.1681741,0.7304368
1,25000.0,746825.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,20000.0,597460.0,29300,0,0,1,6.4,3,0,-0.069583565,0.84571373,1.1681741,0.7304368
1,9000.0,268857.0,29300,0,0,1,6.5,2,0,-0.069583565,0.84571373,0.04101171,0.36117008
1,8125.95,242746.50435,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,6348.36,189644.55828,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,3839.04,114683.64192,29300,0,0,2,6.5,4,0,-0.069583565,0.84571373,-0.23936123,0.14529034
1,40000.0,1194920.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,448095.0,24230,0,0,1,6.0,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,15000.0,448095.0,24230,0,0,1,5.9,3,0,1.3851802,1.4488579,1.1681741,0.7304368
1,57000.0,1702761.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,23000.0,687079.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,75000.0,2325600.0,71110,0,0,1,7.0,2,0,-0.7509599,0.6434941,0.04101171,0.36117008
1,50000.0,1550400.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,20000.0,620160.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,18388.02,570175.72416,51430,0,0,2,7.5,4,0,0.8529021,1.0706525,-0.23936123,0.14529034
1,31000.0,961248.0,52310,0,0,1,5.8,3,0,1.3962417,-0.13528237,1.1681741,0.7304368
1,20000.0,620160.0,72900,0,0,1,8.0,3,0,-0.9066446,1.394121,1.1681741,0.7304368
1,80000.0,2480640.0,51211,0,0,1,6.0,3,0,-0.24880093,0.45012644,1.1681741,0.7304368
1,75000.0,2325600.0,50300,0,0,1,8.0,2,0,0.041681875,0.19871044,0.04101171,0.36117008
1,10000.0,310080.0,51490,0,0,1,5.9,2,0,0.55587935,-0.3071757,0.04101171,0.36117008
1,20000.0,620160.0,51502,0,0,1,6.4,3,0,0.9997455,-0.37260506,1.1681741,0.7304368
1,8353.96,259039.59168,51502,0,0,2,7.8,4,0,0.9997455,-0.37260506,-0.23936123,0.14529034
1,14500.0,449616.0,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,14000.0,434112.0,51390,0,0,1,8.0,3,0,0.4813622,-0.86792165,1.1681741,0.7304368
1,80000.0,2480640.0,75230,0,0,1,6.0,3,0,-0.15355697,0.1140225,1.1681741,0.7304368
1,35000.0,1085280.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
1,33468.75,1037799.0,32100,0,0,2,5.813,6,0,-0.97431225,0.76103,0.03569989,0.686754
0,2019000.0,2019000.0,51900,1,17,1,19.5,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
0,400000.0,400000.0,51900,0,0,1,19.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,38000.0,1178304.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,16900.0,524035.2,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,11000.0,341088.0,51900,0,0,1,6.0,2,0,0.8072708,-0.23176387,0.04101171,0.36117008
1,31913.13,989562.33504,90000,1,2,2,6.5,5,0,-0.26089063,0.19164342,-0.14429104,0.9848039
1,39375.0,1220940.0,1401,0,0,2,5.1,6,0,0.1894225,-0.32241976,0.03569989,0.686754
1,22960.0,711943.68,1401,0,0,2,5.1,5,0,0.1894225,-0.32241976,-0.14429104,0.9848039
1,20000.0,620160.0,25110,0,0,1,6.0,3,0,0.09737022,0.30261186,1.1681741,0.7304368
1,26300.0,815510.4,60220,0,0,2,5.23,6,0,0.30126727,0.16430633,0.03569989,0.686754
1,68100.0,2111644.8,60230,0,0,1,6.0,3,0,0.22463928,-0.4531752,1.1681741,0.7304368
